date	gdprowth	sp500returns
1950Q2	3.04234	7.116624
1950Q3	3.9164	-0.302551
1950Q4	1.75747	8.168023
1951Q1	1.26175	8.954161
1951Q2	1.65822	1.004787
1951Q3	1.99469	4.398873
1951Q4	0.16907	1.894472
1952Q1	1.00812	3.132231
1952Q2	0.10839	0.170779
1952Q3	0.67217	4.455604
1952Q4	3.30256	0.396269
1953Q1	1.8696	3.640339
1953Q2	0.75796	-5.905492
1953Q3	-0.60857	-2.032817
1953Q4	-1.58177	1.836251
1954Q1	-0.47956	6.586737
1954Q2	0.1259	9.201509
1954Q3	1.1273	8.189776
1954Q4	2.00223	9.091595
1955Q1	2.88344	8.102216
1955Q2	1.65053	5.94645
1955Q3	1.33837	12.21097
1955Q4	0.55921	2.322127
1956Q1	-0.4575	2.782518
1956Q2	0.78846	3.476075
1956Q3	-0.1258	2.376792
1956Q4	1.63347	-3.981696
1957Q1	0.61191	-3.894533
1957Q2	-0.23865	4.760335
1957Q3	0.96076	-0.592962
1957Q4	-1.05098	-11.95641
1958Q1	-2.7075	2.043437
1958Q2	0.61532	5.056977
1958Q3	2.34366	9.019206
1958Q4	2.32854	9.991936
1959Q1	2.02313	6.252772
1959Q2	2.52585	3.541215
1959Q3	-0.11886	2.152616
1959Q4	0.34979	-1.632812
1960Q1	2.24594	-2.726139
1960Q2	-0.46744	-0.229286
1960Q3	0.16243	-0.616101
1960Q4	-1.28323	-0.714523
1961Q1	0.59639	12.07714
1961Q2	1.87085	6.405504
1961Q3	1.61347	1.315115
1961Q4	2.03711	4.94895
1962Q1	1.79478	-0.427147
1962Q2	1.10278	-10.70653
1962Q3	0.9242	-7.319685
1962Q4	0.24269	2.629665
1963Q1	1.30734	10.33202
1963Q2	1.25223	6.325141
1963Q3	1.88501	1.798371
1963Q4	0.75982	3.368043
1964Q1	2.24388	5.748921
1964Q2	1.14829	3.582164
1964Q3	1.35756	3.236924
1964Q4	0.27782	2.252929
1965Q1	2.45844	2.170404
1965Q2	1.35485	0.993327
1965Q3	2.03039	-0.646002
1965Q4	2.4111	5.605662
1966Q1	2.45646	-0.170133
1966Q2	0.33314	-3.740811
1966Q3	0.65623	-7.562294
1966Q4	0.81039	-2.12553
1967Q1	0.88117	9.046572
1967Q2	0.02043	5.398634
1967Q3	0.79924	2.941612
1967Q4	0.76251	0.24205
1968Q1	2.05903	-2.906498
1968Q2	1.69972	6.491374
1968Q3	0.68306	2.091508
1968Q4	0.43304	5.376869
1969Q1	1.57616	-3.991163
1969Q2	0.29006	0.729215
1969Q3	0.63252	-7.066946
1969Q4	-0.46966	-0.331192
1970Q1	-0.15729	-5.754293
1970Q2	0.1834	-10.47488
1970Q3	0.88953	-1.32345
1970Q4	-1.06081	9.848708
1971Q1	2.75805	12.25276
1971Q2	0.56747	4.869414
1971Q3	0.79862	-2.837052
1971Q4	0.27764	-2.116108
1972Q1	1.78728	9.211462
1972Q2	2.37068	2.624891
1972Q3	0.95915	1.018931
1972Q4	1.64759	4.093438
1973Q1	2.55763	1.217079
1973Q2	1.15764	-6.627738
1973Q3	-0.53364	-2.33095
1973Q4	0.95265	-2.114504
1974Q1	-0.87698	-6.76237
1974Q2	0.25686	-5.257968
1974Q3	-0.98821	-16.01643
1974Q4	-0.3943	-9.070465
1975Q1	-1.21644	13.06984
1975Q2	0.7639	13.34934
1975Q3	1.684	-1.060899
1975Q4	1.30778	1.220377
1976Q1	2.27213	11.68317
1976Q2	0.753	2.271318
1976Q3	0.48979	2.636381
1976Q4	0.72626	-1.627847
1977Q1	1.16057	-0.657755
1977Q2	1.98769	-2.852012
1977Q3	1.78825	-0.978473
