DATE,IMPTOTFL
2008-01-01,8.40324
2008-02-01,8.40317
2008-03-01,8.46402
2008-04-01,8.48834
2008-05-01,8.53609
2008-06-01,8.54391
2008-07-01,8.57510
2008-08-01,8.50791
2008-09-01,8.58552
2008-10-01,8.59044
2008-11-01,8.36274
2008-12-01,8.33835
2009-01-01,8.27306
2009-02-01,8.14049
2009-03-01,8.21325
2009-04-01,8.13467
2009-05-01,8.15384
2009-06-01,8.24097
2009-07-01,8.27721
2009-08-01,8.19110
2009-09-01,8.27904
2009-10-01,8.31383
2009-11-01,8.37418
2009-12-01,8.30509
2010-01-01,8.35458
2010-02-01,8.28468
2010-03-01,8.47820
2010-04-01,8.37526
2010-05-01,8.41912
2010-06-01,8.46916
2010-07-01,8.46208
2010-08-01,8.47335
2010-09-01,8.47502
2010-10-01,8.52357
2010-11-01,8.51381
2010-12-01,8.55169
2011-01-01,8.52011
2011-02-01,8.50918
2011-03-01,8.67596
2011-04-01,8.56851
2011-05-01,8.54757
2011-06-01,8.54251
2011-07-01,8.60610
2011-08-01,8.62520
2011-09-01,8.65087
2011-10-01,8.60130
2011-11-01,8.74302
2011-12-01,8.60262
2012-01-01,8.62213
2012-02-01,8.63498
2012-03-01,8.72856
2012-04-01,8.62101
2012-05-01,8.68403
2012-06-01,8.64652
2012-07-01,8.69247
2012-08-01,8.72271
2012-09-01,8.67168
2012-10-01,8.73760
2012-11-01,8.76460
2012-12-01,8.72292
2013-01-01,8.72484
2013-02-01,8.65199
2013-03-01,8.75149
2013-04-01,8.73743
2013-05-01,8.73850
2013-06-01,8.64453
2013-07-01,8.70899
2013-08-01,8.69382
2013-09-01,8.63447
2013-10-01,8.74242
2013-11-01,8.68811
2013-12-01,8.71164
2014-01-01,8.67488
2014-02-01,8.60147
2014-03-01,8.76539
2014-04-01,8.72747
2014-05-01,8.72375
2014-06-01,8.62495
2014-07-01,8.67989
2014-08-01,8.68997
2014-09-01,8.69930
2014-10-01,8.72880
2014-11-01,8.70763
2014-12-01,8.73382
2015-01-01,8.73862
2015-02-01,8.60789
2015-03-01,8.75006
2015-04-01,8.65801
2015-05-01,8.76537
2015-06-01,8.74556
2015-07-01,8.75836
2015-08-01,8.67435
2015-09-01,8.67989
2015-10-01,8.75260
2015-11-01,8.73779
2015-12-01,8.75653
2016-01-01,8.67069
2016-02-01,8.64992
2016-03-01,8.75394
2016-04-01,8.68925
2016-05-01,8.71255
2016-06-01,8.72330
2016-07-01,8.75019
2016-08-01,8.78577
2016-09-01,8.71848
2016-10-01,8.71317
2016-11-01,8.75850
2016-12-01,8.72695
2017-01-01,8.72444
2017-02-01,8.65775
2017-03-01,8.75399
2017-04-01,8.68415
2017-05-01,8.74164
2017-06-01,8.73988
2017-07-01,8.70808
2017-08-01,8.76377
2017-09-01,8.66587
2017-10-01,8.84076
2017-11-01,8.85533
2017-12-01,8.77995
2018-01-01,8.73101
2018-02-01,8.69897
2018-03-01,8.83302
2018-04-01,8.74896
2018-05-01,8.84377
2018-06-01,8.76152
2018-07-01,8.81315
2018-08-01,8.88252
2018-09-01,8.78173
2018-10-01,8.90446
2018-11-01,8.87429
2018-12-01,8.84741
2019-01-01,8.83358
2019-02-01,8.81949
2019-03-01,8.87816
2019-04-01,8.85673
2019-05-01,8.87392
2019-06-01,8.77626
2019-07-01,8.84204
2019-08-01,8.79826
2019-09-01,8.78187
2019-10-01,8.83250
2019-11-01,8.79001
2019-12-01,8.82003
2020-01-01,8.92897
2020-02-01,8.79238
2020-03-01,8.82461
2020-04-01,8.43916
2020-05-01,8.52984
2020-06-01,8.66915
2020-07-01,8.73157
2020-08-01,8.79000
2020-09-01,8.78357
2020-10-01,8.87031
2020-11-01,8.83057
2020-12-01,8.85432
2021-01-01,8.81689
2021-02-01,8.78551
2021-03-01,8.94148
2021-04-01,8.90294
2021-05-01,8.95902
2021-06-01,8.90922
2021-07-01,8.95828
2021-08-01,9.03160
2021-09-01,8.91053
2021-10-01,9.01406
2021-11-01,9.16865
2021-12-01,9.04101
2022-01-01,9.06572
2022-02-01,8.94117
2022-03-01,9.12661
2022-04-01,9.15613
2022-05-01,9.18874
2022-06-01,9.13266
2022-07-01,9.08574
2022-08-01,9.19517
2022-09-01,9.18691
2022-10-01,9.30656
2022-11-01,9.13119
2022-12-01,9.13618
2023-01-01,9.15985
2023-02-01,9.05906
2023-03-01,9.20245
2023-04-01,9.18910
2023-05-01,9.12466
2023-06-01,9.08890
2023-07-01,9.16475
2023-08-01,9.12166
2023-09-01,9.14388
2023-10-01,9.16572
2023-11-01,9.18933
2023-12-01,9.13720
2024-01-01,9.21015
2024-02-01,9.10342
2024-03-01,9.15126
