DATE,IMPTOTTN
2008-01-01,8.41945
2008-02-01,8.37293
2008-03-01,8.36786
2008-04-01,8.40689
2008-05-01,8.38057
2008-06-01,8.43035
2008-07-01,8.49721
2008-08-01,8.45823
2008-09-01,8.41938
2008-10-01,8.37926
2008-11-01,8.21682
2008-12-01,8.22938
2009-01-01,8.10910
2009-02-01,8.00920
2009-03-01,8.08970
2009-04-01,8.07474
2009-05-01,7.97015
2009-06-01,8.11621
2009-07-01,8.20114
2009-08-01,8.16380
2009-09-01,8.19310
2009-10-01,8.22807
2009-11-01,8.22237
2009-12-01,8.27448
2010-01-01,8.15688
2010-02-01,8.17771
2010-03-01,8.30699
2010-04-01,8.21208
2010-05-01,8.22317
2010-06-01,8.31366
2010-07-01,8.32142
2010-08-01,8.40349
2010-09-01,8.34408
2010-10-01,8.35972
2010-11-01,8.32717
2010-12-01,8.39471
2011-01-01,8.35888
2011-02-01,8.34007
2011-03-01,8.41190
2011-04-01,8.40349
2011-05-01,8.38888
2011-06-01,8.41819
2011-07-01,8.42266
2011-08-01,8.52877
2011-09-01,8.45736
2011-10-01,8.50421
2011-11-01,8.41706
2011-12-01,8.52792
2012-01-01,8.49227
2012-02-01,8.40941
2012-03-01,8.62281
2012-04-01,8.44857
2012-05-01,8.52051
2012-06-01,8.53431
2012-07-01,8.58752
2012-08-01,8.52944
2012-09-01,8.52148
2012-10-01,8.62800
2012-11-01,8.62700
2012-12-01,8.57157
2013-01-01,8.60716
2013-02-01,8.44398
2013-03-01,8.50521
2013-04-01,8.56035
2013-05-01,8.58618
2013-06-01,8.56455
2013-07-01,8.59521
2013-08-01,8.64224
2013-09-01,8.60498
2013-10-01,8.63718
2013-11-01,8.67868
2013-12-01,8.70963
2014-01-01,8.55324
2014-02-01,8.45571
2014-03-01,8.63577
2014-04-01,8.63674
2014-05-01,8.67451
2014-06-01,8.65832
2014-07-01,8.68686
2014-08-01,8.64501
2014-09-01,8.77879
2014-10-01,8.78539
2014-11-01,8.64973
2014-12-01,8.81021
2015-01-01,8.71645
2015-02-01,8.59145
2015-03-01,8.81288
2015-04-01,8.71209
2015-05-01,8.70994
2015-06-01,8.80282
2015-07-01,8.77308
2015-08-01,8.78597
2015-09-01,8.88048
2015-10-01,8.79670
2015-11-01,8.79006
2015-12-01,8.79677
2016-01-01,8.65430
2016-02-01,8.62807
2016-03-01,8.76032
2016-04-01,8.66310
2016-05-01,8.75527
2016-06-01,8.77350
2016-07-01,8.72121
2016-08-01,8.81211
2016-09-01,8.84337
2016-10-01,8.76568
2016-11-01,8.76096
2016-12-01,8.76035
2017-01-01,8.73448
2017-02-01,8.63098
2017-03-01,8.82779
2017-04-01,8.64084
2017-05-01,8.72183
2017-06-01,8.74203
2017-07-01,8.67508
2017-08-01,8.84574
2017-09-01,8.85962
2017-10-01,8.84756
2017-11-01,8.91044
2017-12-01,8.96826
2018-01-01,8.91514
2018-02-01,8.77480
2018-03-01,8.86733
2018-04-01,8.84581
2018-05-01,8.82273
2018-06-01,8.84885
2018-07-01,8.84609
2018-08-01,8.88523
2018-09-01,8.88275
2018-10-01,8.93299
2018-11-01,8.92919
2018-12-01,8.95228
2019-01-01,8.83011
2019-02-01,8.73323
2019-03-01,8.83799
2019-04-01,8.84396
2019-05-01,8.95661
2019-06-01,8.87333
2019-07-01,8.89468
2019-08-01,8.97937
2019-09-01,8.92794
2019-10-01,8.95416
2019-11-01,8.90240
2019-12-01,8.89558
2020-01-01,8.82228
2020-02-01,8.77511
2020-03-01,8.90874
2020-04-01,8.69681
2020-05-01,8.57740
2020-06-01,8.73995
2020-07-01,8.77845
2020-08-01,8.83165
2020-09-01,8.87461
2020-10-01,8.99762
2020-11-01,8.98290
2020-12-01,9.04996
2021-01-01,8.95853
2021-02-01,8.83025
2021-03-01,9.03198
2021-04-01,8.98514
2021-05-01,8.91893
2021-06-01,8.90964
2021-07-01,8.87259
2021-08-01,8.95982
2021-09-01,9.00670
2021-10-01,9.04125
2021-11-01,8.98868
2021-12-01,9.03363
2022-01-01,8.94061
2022-02-01,8.94808
2022-03-01,9.25786
2022-04-01,9.12940
2022-05-01,9.11578
2022-06-01,9.24574
2022-07-01,8.97753
2022-08-01,9.16756
2022-09-01,9.22788
2022-10-01,9.18462
2022-11-01,9.05347
2022-12-01,9.11204
2023-01-01,8.99106
2023-02-01,8.91767
2023-03-01,9.28022
2023-04-01,9.00313
2023-05-01,9.12738
2023-06-01,8.98772
2023-07-01,9.09088
2023-08-01,9.09936
2023-09-01,9.13089
2023-10-01,9.17925
2023-11-01,9.16493
2023-12-01,9.10942
2024-01-01,9.13550
2024-02-01,9.07541
2024-03-01,9.21255
